Tag	Cage	Ear	Sex	Color	Name	Genotype	DOB	DOD	Father	Mother	Lineage	GenotypingLibrary	Plate	Notes
5092	AA0030	++/t	F	White		4E,6I,18S,9ina	01/13/20	05/07/20	2265	2410/2412	1763PB#7		T979199-B03	
5093	AA0030	t/+	F	White		5E,6I,14S,6ina	01/13/20	05/07/20	2265	2410/2412	1763PB#7		T979199-C03	
														
5094	AA0031	+/t	M	Agouti		4E,11I,5S,11ina	01/12/20	Breeder-May20	2693	2645/2610	1763PB#3		T979199-D03	
5095	AA0031	++/t	M	Agouti		4E,9I,4S,8ina	01/12/20	dispensible	2693	2645/2610	1763PB#3		T979199-E03	
5096	AA0031	t/+	M	Agouti		4E,12I,6S,7ina	01/12/20	Breeder-May20	2693	2645/2610	1763PB#3		T979199-F03	
5097	AA0031	t/++	M	Agouti		4E,10I,3S,11ina	01/12/20	dispensible	2693	2645/2610	1763PB#3		T979199-G03	
5098	AA0032	+/t	M	Agouti		4E,10I,6S,11ina	01/12/20	Reserve-May20	2693	2645/2610	1763PB#3		T979199-H03	
5099	AA0032	++/t	M	Agouti		4E,13I,4S,10ina	01/12/20	Breeder-May20	2693	2645/2610	1763PB#3		T979199-A04	
5100	AA0032	t/+	M	Agouti		3E,11I,6S,10ina	01/12/20	Reserve-May20	2693	2645/2610	1763PB#3		T979199-B04	
5101	AA0032	t/++	M	Agouti		4E,12I,3S,12ina	01/12/20	Breeder-May20	2693	2645/2610	1763PB#3		T979199-C04	
5102	AA0033	+/t	F	Agouti		4E,10I,6S,10ina	01/12/20	Breeder-May20	2693	2645/2610	1763PB#3			
5103	AA0033	++/t	F	Agouti		4E,12I,3S,11ina	01/12/20	dispensible	2693	2645/2610	1763PB#3		T979199-E04	
5104	AA0033	t/+	F	Agouti		1E,13I,5S,8ina	01/12/20	dispensible	2693	2645/2610	1763PB#3		T979199-F04	
														
5105	AA0034	+/t	F	Agouti		3	01/12/20	05/07/20	2735	2742/2744	1853PBF#1		T1004640-A01	
5106	AA0034	++/t	F	Agouti		4	01/12/20	05/07/20	2735	2742/2744	1853PBF#1		T1004640-B01	
5107	AA0034	t/+	F	Agouti		5	01/12/20	Breeder-May20	2735	2742/2744	1853PBF#1		T1004640-C01	
5108	AA0034	t/++	F	Agouti		4	01/12/20	05/07/20	2735	2742/2744	1853PBF#1		T1004640-D01	
5109	AA0035	+/t	M	Agouti		3	01/22/20	Dispensible	2734	2448/2740	1853PBF#1		T1004640-E01	
5110	AA0035	++/t	M	Agouti		3	01/22/20	Dispensible	2734	2448/2740	1853PBF#1		T1004640-F01	
5111	AA0011	+/t	F	Agouti		4	01/12/20	05/07/20	2734	2448/2740	1853PBF#1		T1004640-G01	
														
5112	AA0037	+/t	M	Agouti		4E,7I,17S,11ina	01/22/20	03/17/20	2750	2650/2652	1763PB#7		T1004640-H01	
5113	AA0029	+/t	F	Agouti		3E,9I,17S,11ina	01/22/20	Breeder-May20	2750	2650/2652	1763PB#7		T1004640-A02	
5114	AA0029	++/t	F	Agouti		4E,9I,18S,11ina	01/22/20	Breeder-May20	2750	2650/2652	1763PB#7		T1004640-B02	
														
5115	AA0038	+/t	M	Black		fCas9 MT (+/+), hCD2 (-)	01/20/20	Dispensible  - collect for gDNA template	2542	2731/2535	fCas9 x hCD2		T1004640-C02	
5116	AA0038	++/t	M	Black		fCas9 MT (+/+), hCD2 (+)	01/20/20		2542	2731/2535	fCas9 x hCD2		T1004640-D02	
														
5117	AA0039	+/t	M	Agouti		4E,5I,3S,NAina	01/30/20	Dispensible	2620	2523/2626	1685ins21#2		T965505-A01	
5118	AA0039	++/t	M	Agouti		4E,8I,2S,NAina	01/30/20	Breeder-May20	2620	2523/2626	1685ins21#2		T965505-B01	
5119	AA0040	+/t	F	Agouti		4E,5I,2S,NAina	01/30/20	5/07 - samples collected for gDNA template	2620	2523/2626	1685ins21#2		T965505-C01	
5120	AA0040	++/t	F	Agouti		4E,7I,2S,NAina	01/30/20	Breeder-May20	2620	2523/2626	1685ins21#2		T965505-D01	
5121	AA0040	+/t	F	Agouti		4E,7I,4S,NAina	01/31/20	Breeder-May20	2620	2632	1685ins21#2		T965505-E01	
5122	AA0041	++/t	F	Agouti			01/31/20	5/07 - samples collected for gDNA template	2620	2632	1685ins21#2		T965505-F01	
5123	AA0041	t/+	F	Agouti		2E,8I,4S,NAina	01/31/20	5/07 - samples collected for gDNA template	2620	2632	1685ins21#2		T965505-G01	
5124	AA0041	t/++	F	Agouti		2E,7I,4S,NAina	01/31/20	5/07 - samples collected for gDNA template	2620	2632	1685ins21#2		T965505-H01	
5125	AA0042	+/t	M	Agouti		4E,5I,4S,NAina	01/31/20	05/07/20	2620	2632	1685ins21#2		T965505-A02	
5126	AA0042	++/t	M	Agouti		4E,6I,3S,NAina	01/31/20	05/07/20	2620	2632	1685ins21#2		T965505-B02	
5127	AA0042	t/+	M	Agouti		3E,6I,3S,NAina	01/31/20	05/07/20	2620	2632	1685ins21#2		T965505-C02	
5128	AA0043	+/t	M	Agouti		3E,7I,4S,NAina	01/31/20	Dispensible	2620	2632	1685ins21#2		T965505-D02	
5129	AA0043	++/t	M	Agouti		2E,6I,3S,NAina	01/31/20	Dispensible	2620	2632	1685ins21#2		T965505-E02	
5130	AA0043	t/+	M	Agouti		4E,7I,4S,NAina	01/31/20	Breeder-May20	2620	2632	1685ins21#2		T965505-F02	
5131	AA0044	+/t	M	Agouti		3E,7I,4S,NAina	01/31/20	03/17/20	2463	2625/2633	1685ins21#2		T965505-G02	
5132	AA0059	+/t	F	Agouti		3E,7I,2S,NAina	01/31/20	Dispensible	2463	2625/2633	1685ins21#2		T965505-H02	
														
5133	AA0046	+/t	M	Agouti			01/27/20	Dispensible	2751	2418/2421	1763PB#7		T965505-A03	
5134	AA0046	++/t	M	Agouti		5E,7I,13S,7ina	01/27/20	Breeder-May20	2751	2418/2421	1763PB#7		T965505-B03	
5135	AA0046	t/+	M	Agouti		5E,6I,17S,8ina	01/27/20	Reserve-May20	2751	2418/2421	1763PB#7		T965505-C03	
5136	AA0046	t/++	M	Agouti		4E,7I,17S,17ina	01/27/20	Reserve-May20	2751	2418/2421	1763PB#7		T965505-D03	
5137	AA0047	+/t	F	Agouti		4E,8I,17S,14ina	01/27/20	Breeder-May20	2751	2418/2421	1763PB#7		T965505-E03	
5138	AA0047	++/t	F	Agouti			01/27/20	Dispensible	2751	2418/2421	1763PB#7		T965505-F03	
5139	AA0047	t/+	F	Agouti		5E,5I,16S,9ina	01/27/20	Breeder-May20	2751	2418/2421	1763PB#7		T965505-G03	
5140	AA0048	+/t	F	Black			01/27/20	05/07/20	2751	2418/2421	1763PB#7		T965505-A04	
5141	AA0048	++/t	F	Black		4E,7I,13S,14ina	01/27/20	05/07/20	2751	2418/2421	1763PB#7		T965505-B04	
5142	AA0048	t/+	F	Black			01/27/20	05/07/20	2751	2418/2421	1763PB#7		T965505-C04	
														
5143	AA0049	+/t	M	Black			02/03/20	Dispensible	2694	2639/2613	1763PB#3		T965505-D04	
5144	AA0049	++/t	M	Agouti		3E,13I,5S,10ina	02/03/20	Dispensible	2694	2639/2613	1763PB#3		T965505-E04	
5145	AA0049	t/+	M	Agouti			02/03/20	Dispensible	2694	2639/2613	1763PB#3		T965505-F04	
5146	AA0050	+/t	F	Black		1E,11I,5S,9ina	02/03/20	Breeder-May20	2694	2639/2613	1763PB#3		T965505-G04	
5147	AA0050	++/t	F	Agouti		3E,14I,6S,8ina	02/03/20	Breeder-May20	2694	2639/2613	1763PB#3		T965505-H04	
5148	AA0050	t/+	F	Agouti		3E,11I,7S,14ina	02/03/20	Breeder-May20	2694	2639/2613	1763PB#3		T965505-A05	
5149	AA0050	t/++	F	Agouti		2E,13I,6S,13ina	02/03/20	Dispensible	2694	2639/2613	1763PB#3		T965505-B05	
5150	AA0050	notch-5	F	Agouti		4E,13I,6S,13ina	02/03/20	Breeder-May20	2694	2639/2613	1763PB#3		T965505-C05	
5151	AA0051	+/t	F	White		2E,13I,6S,9ina	02/04/20	05/07/20	2693	2645/2610	1763PB#3		T965505-D05	
5152	AA0051	++/t	F	White		3E,13I,5S,9ina	02/04/20	Breeder-May20	2693	2645/2610	1763PB#3		T965505-E05	
5153	AA0051	t/+	F	Agouti		3E,13I,6S,10ina	02/04/20	Breeder-May20	2693	2645/2610	1763PB#3		T965505-F05	
5154	AA0051	t/++	F	Agouti		4E,11I,6S,7ina	02/04/20	Breeder-May20	2693	2645/2610	1763PB#3		T965505-G05	
5155	AA0051	notch-5	F	Agouti		4E,12I,6S,10ina	02/04/20	05/07/20	2693	2645/2610	1763PB#3		T965505-H05	
5156	AA0052	+/t	M	Agouti		4E,12I,5S,9ina	02/04/20	Breeder-May20	2693	2645/2610	1763PB#3		T965505-A06	
5157	AA0052	++/t	M	Agouti		4E,13I,6S,12ina	02/04/20	Breeder-May20	2693	2645/2610	1763PB#3		T965505-B06	
5158	AA0052	t/+	M	Agouti			02/04/20	Dispensible	2693	2645/2610	1763PB#3		T965505-C06	
5159	AA0052	t/++	M			3E,12I,6S,9ina	02/04/20	Dispensible	2693	2645/2610	1763PB#3		T965505-D06	
5160	AA0053	+/t	M	Agouti		3E,12I,5S,9ina	02/04/20	Dispensible	2693	2645/2610	1763PB#3		T965505-E06	
5161	AA0053	++/t	M	Agouti		4E,9I,5S,11ina	02/04/20	Dispensible	2693	2645/2610	1763PB#3		T965505-F06	
5162	AA0053	t/+	M	Agouti		2E,10I,6S,7ina	02/04/20	Dispensible	2693	2645/2610	1763PB#3		T965505-G06	
5163	AA0053	t/++	M	White		4E,12I,6S,10ina	02/04/20	Breeder-May20	2693	2645/2610	1763PB#3		T965505-H06	
														
5164	AA0054	+/t	M	Agouti		5	01/31/20	5/07 - samples collected for gDNA template	2438	2741/2743	1853PBF#1		T965505-B07	
5165	AA0054	++/t	M	Agouti			01/31/20	5/07 - samples collected for gDNA template	2438	2741/2743	1853PBF#1		T965505-C07	
5166	AA0054	t/+	M	Black			01/31/20	5/07 - samples collected for gDNA template	2438	2741/2743	1853PBF#1		T965505-D07	
5167	AA0055	+/t	F	Agouti		3	01/31/20	Dispensible	2438	2741/2743	1853PBF#1		T965505-E07	
5168	AA0055	++/t	F	Agouti		5	01/31/20	Breeder-May20	2438	2741/2743	1853PBF#1		T965505-F07	
5169	AA0055	t/+	F	Agouti		3	01/31/20	Dispensible	2438	2741/2743	1853PBF#1		T965505-G07	
5170	AA0055	t/++	F	Agouti		4	01/31/20	Dispensible	2438	2741/2743	1853PBF#1		T965505-H07	
5171	AA0056	+/t	M	Black		fCas9 MT (+/+), synCre (+)	01/28/20	dispensible	2728	2713	fCas9 x synCre		T965505-A08	
5172	AA0056	++/t	M	Black		fCas9 MT (+/+), synCre (-)	01/28/20	Dispensible	2728	2713	fCas9 x synCre		T965505-B08	
5173	AA0056	t/+	M	Black		fCas9 MT (+/+), synCre (+)	01/28/20	dispensible	2728	2713	fCas9 x synCre		T965505-C08	
5174	AA0056	t/++	M	Black		fCas9 MT (+/-), synCre (-)	01/28/20	dispensible	2728	2713	fCas9 x synCre		T965505-D08	
5175	AA0057	+/t	F	Black		fCas9 MT (+/+), synCre (-)	01/28/20	Dispensible	2728	2713	fCas9 x synCre		T965505-E08	
5176	AA0057	++/t	F	Black		fCas9 MT (+/+), synCre (-)	01/28/20	Dispensible	2728	2713	fCas9 x synCre		T965505-F08	
5177	AA0058	t/+	M	Black		fCas9 MT (+/-), hCD2 (-)	01/31/20	Dispensible	2542	2731/2535/2731	fCas9 x hCD2		T965505-G08	
5178	AA0058	t/++	M	Black		fCas9 MT (+/+), hCD2 (+)	01/31/20	breeder (experimental)	2542	2731/2535/2731	fCas9 x hCD2		T965505-H08	
5179	AA0058	notch-5	M	Black		fCas9 MT (+/+), hCD2 (-)	01/31/20		2542	2731/2535/2731	fCas9 x hCD2		T965505-A09	
5180	AA0059	+/t	F	Black		fCas9 MT (+/+), hCD2 (-)	01/31/20		2542	2731/2535/2731	fCas9 x hCD2		T965505-B09	
5181	AA0059	++/t	F	Black		fCas9 MT (+/+), hCD2 (+)	01/31/20		2542	2731/2535/2731	fCas9 x hCD2		T965505-C09	
5182	AA0059	t/+	F	Black		fCas9 MT (+/+), hCD2 (+)	01/31/20	05/07/20	2542	2731/2535/2731	fCas9 x hCD2		T965505-D09	
														
5183	AA0060	+/t	M	Agouti		5	02/18/20	Dispensible	2438	2741/2743	1853PBF#1		T965524-A01	recollected 200420, original plate loc: T965523-A01
5184	AA0060	++/t	M	Black		4	02/18/20	Dispensible	2438	2741/2743	1853PBF#1		T965524-A02	200420: recollected, original plate loc T965523-B01
5185	AA0060	t/+	M	Black		3	02/18/20	Dispensible	2438	2741/2743	1853PBF#1		T965524-A03	200420: recollected, original plate loc T965523-C01
5186	AA0061	+/t	M	Agouti		4	02/18/20	Dispensible	2438	2741/2743	1853PBF#1		T965524-A04	200420: recollected, original plate loc T965523-D01
5187	AA0061	++/t	M	Agouti		5	02/18/20	Reserve-May20	2438	2741/2743	1853PBF#1		T965524-A05	200420: recollected, original plate loc T965523-E01
5188	AA0061	t/+	M	Agouti		5	02/18/20	Breeder-May20	2438	2741/2743	1853PBF#1		T965524-A06	200420: recollected, original plate loc T965523-F01
5189	AA0062	+/t	F	Agouti		4	02/18/20	Dispensible	2438	2741/2743	1853PBF#1		T965524-A07	200420: recollected, original plate loc T965523-G01
5190	AA0062	++/t	F	Agouti		5	02/18/20	Breeder-May20	2438	2741/2743	1853PBF#1		T965524-A08	200420: recollected, original plate loc T965523-H1
5191	AA0062	t/+	F	Black		5	02/18/20	Breeder-May20	2438	2741/2743	1853PBF#1		T965524-A09	200420: recollected, original plate loc T965523-A02
5192	AA0063	+/t	F	Agouti		4	02/18/20	Dispensible	2438	2741/2743	1853PBF#1		T965524-A10	200420: recollected, original plate loc T965523-B02
5193	AA0063	++/t	F	Agouti		4	02/18/20	Dispensible	2438	2741/2743	1853PBF#1		T965524-A11	200420: recollected, original plate loc T965523-C02
5194	AA0063	t/+	F	Agouti		4	02/18/20	Dispensible	2438	2741/2743	1853PBF#1		T965524-A12	200420: recollected, original plate loc T965523-D02
5195	AA0064	+/t	F	Agouti		4E,8I,14S,13ina	02/09/20	Dispensible	2401	2417/2415	1763PB#7		T965524-D01	200420: recollected, original plate loc T965523-E02
5196	AA0064	++/t	F	Agouti		4E,8I,21S,10ina	02/09/20	Breeder-May20	2401	2417/2415	1763PB#7		T965524-D02	200420: recollected, original plate loc T965523-F02
5197	AA0064	t/+	F	Agouti		3E,8I,17S,14ina	02/09/20	Dispensible	2401	2417/2415	1763PB#7		T965524-D03	200420: recollected, original plate loc T965523-G02
5198	AA0065	+/t	M	Black		fCas9 MT (+/+), hCD2 (-)	02/12/20		2727	2732/2547	fCas9 x hCD2		T965524-G01	200420: recollected, original plate loc T965523-H2
5199*	AA0066	+/t	F	Black		fCas9 MT (+/-), hCD2 (+)	02/12/20	Dispensible	2727	2732/2547	fCas9 x hCD2		T965524-G02	200420: recollected, original plate loc T965523-A03
5200	AA0066	++/t	F	Black		fCas9 MT (+/+), hCD2 (-)	02/12/20	Dispensible	2727	2732/2547	fCas9 x hCD2		T965524-G03	200420: recollected, original plate loc T965523-B03
5201	AA0066	t/+	F	Black		fCas9 MT (+/+), hCD2 (+)	02/12/20		2727	2732/2547	fCas9 x hCD2		T965524-G04	200420: recollected, original plate loc T965523-C03
5202	AA0067	+/t	F	Black		fCas9 MT (+/+), hCD2 (-)	02/12/20	5/07 - samples collected for gDNA template	2727	2732/2547	fCas9 x hCD2		T965524-G05	200420: recollected, original plate loc T965523-D03
5203	AA0067	++/t	F	Black		fCas9 MT (+/-), hCD2 (+)	02/12/20	5/07 - samples collected for gDNA template	2727	2732/2547	fCas9 x hCD2		T965524-G06	200420: recollected, original plate loc T965523-E03
5204	AA0067	t/+	F	Black		fCas9 MT (+/+), hCD2 (-)	02/12/20	5/07 - samples collected for gDNA template	2727	2732/2547	fCas9 x hCD2		T965524-G07	200420: recollected, original plate loc T965523-F03
5205	AA0068	+/t	M	Agouti		5	02/15/20	Breeder-May20	2437	2448/2740	1853PBF#1		T965524-B02	200420: recollected, original plate loc T965523-G03
5206	AA0068	++/t	M	Agouti		4	02/15/20	Dispensible	2437	2448/2740	1853PBF#1		T965524-B03	200420: recollected, original plate loc T965523-A04
5207	AA0068	t/+	M	Agouti		5	02/15/20	Breeder-May20	2437	2448/2740	1853PBF#1		T965524-B04	200420: recollected, original plate loc T965523-B04
5208	AA0069	+/t	F	Agouti		4	02/15/20	Dispensible	2437	2448/2740	1853PBF#1		T965524-B05	200420: recollected, original plate loc T965523-C04
5209	AA0069	++/t	F	Agouti		4	02/15/20	Dispensible	2437	2448/2740	1853PBF#1		T965524-B06	200420: recollected, original plate loc T965523-D04
5210	AA0069	t/+	F	Agouti		4	02/15/20	Dispensible	2437	2448/2740	1853PBF#1		T965524-B07	200420: recollected, original plate loc T965523-E04
5211	AA0069	t/++	F	Agouti		4	02/15/20	Dispensible	2437	2448/2740	1853PBF#1		T965524-B08	200420: recollected, original plate loc T965523-F04
5212	AA0070	+/t	F	Agouti		5	02/15/20	Reserve-May20	2437	2448/2740	1853PBF#1		T965524-B09	200420: recollected, original plate loc T965523-G04
5213	AA0070	++/t	F	Agouti		4	02/15/20	Reserve-May20	2437	2448/2740	1853PBF#1		T965524-B10	200420: recollected, original plate loc T965523-H4
5214	AA0070	t/+	F	Agouti		2	02/15/20	Dispensible	2437	2448/2740	1853PBF#1		T965524-B11	200420: recollected, original plate loc T965523-A05
5215	AA0070	t/++	F	Agouti		4	02/15/20	Dispensible	2437	2448/2740	1853PBF#1		T965524-B12	200420: recollected, original plate loc T965523-B05
5216	AA0071	+/t	M	Black		fCas9 MT (+/+), synCre (-)	02/27/20	dispensible  - collect for gDNA	2728	2713	fCas9 x synCre		T965524-G09	200420: recollected, original plate loc T965523-C05
5217	AA0071	++/t	M	Black		fCas9 MT (+/+), synCre (+)	02/27/20	Dispensible	2728	2713	fCas9 x synCre		T965524-G10	200420: recollected, original plate loc T965523-D05
5218	AA0071	t/+	M	Black		fCas9 MT (+/+), synCre (+)	02/27/20	Dispensible	2728	2713	fCas9 x synCre		T965524-G11	200420: recollected, original plate loc T965523-E05
5219	AA0071	t/++	M	Black		fCas9 MT (+/+), synCre (-)	02/27/20		2728	2713	fCas9 x synCre		T965524-G12	200420: recollected, original plate loc T965523-F05
5220	AA0072	+/t	F	Black			02/27/20		2728	2713	fCas9 x synCre		T965524-H01	200420: recollected, original plate loc T965523-G05
5221	AA0072	++/t	F	Black		fCas9 MT (+/+), synCre (-)	02/27/20	Dispensible	2728	2713	fCas9 x synCre		T965524-H02	200420: recollected, original plate loc T965523-H5
5222	AA0073	+/t	M	Black		fCas9 MT (+/+), hCD2 (+)	02/21/20		2727	2732/2547	fCas9 x hCD2		T965524-H03	200420: recollected, original plate loc T965523-A06
5223	AA0073	++/t	M	Black		fCas9 MT (+/-), hCD2 (-)	02/21/20	Dispensible	2727	2732/2547	fCas9 x hCD2		T965524-H04	200420: recollected, original plate loc T965523-B06
5224	AA0073	t/+	M	Black			02/21/20	2020/04/06 - f.d.	2727	2732/2547	fCas9 x hCD2			original plate loc T965523-C0
5225	AA0073	t/++	M	Black		fCas9 MT (+/-), hCD2 (-)	02/21/20	Dispensible	2727	2732/2547	fCas9 x hCD2		T965524-H06	200420: recollected, original plate loc T965523-D06
5226*	AA0074	+/t	F	Black		fCas9 MT (+/-), hCD2 (-)	02/21/20	Dispensible	2727	2732/2547	fCas9 x hCD2		T965524-H07	200420: recollected, original plate loc T965523-E06
5227	AA0074	++/t	F	Black		fCas9 MT (+/+), hCD2 (+)	02/21/20		2727	2732/2547	fCas9 x hCD2		T965524-H08	200420: recollected, original plate loc T965523-F06
5228	AA0074	t/+	F	Black		fCas9 MT (+/-), hCD2 (+)	02/21/20	Dispensible	2727	2732/2547	fCas9 x hCD2		T965524-H09	200420: recollected, original plate loc T965523-G06
														
5229*	AA0074	t/++	F	Black		fCas9 MT (+/+), hCD2 (+)	02/21/20		2727	2732/2547	fCas9 x hCD2		T965524-H10	200420: recollected, original plate loc T965523-A07
														
5230	AA0075	+/t	M	Agouti		4E,11I,6S,7ina	02/28/20	Breeder-May20	2693	2645/2610	1763PB#3		T965524-D05	200420: recollected, original plate loc T965523-B07
5231	AA0075	++/t	M	White		3E,12I,4S,9ina	02/28/20	dispensible	2693	2645/2610	1763PB#3		T965524-D06	200420: recollected, original plate loc T965523-C07
5232	AA0076	+/t	F	Agouti		1E,11I,6S,8ina	02/28/20	dispensible	2693	2645/2610	1763PB#3		T965524-D07	200420: recollected, original plate loc T965523-D07
5233	AA0076	++/t	F	Agouti		4E,10I,4S,8ina	02/28/20	Breeder-May20	2693	2645/2610	1763PB#3		T965524-D08	200420: recollected, original plate loc T965523-E07
5234	AA0076	t/+	F	Agouti		4E,11I,5S,10ina	02/28/20	dispensible	2693	2645/2610	1763PB#3		T965524-D09	200420: recollected, original plate loc T965523-F07
5235	AA0076	t/++	F	Agouti		3E,10I,6S,9ina	02/28/20	Breeder-May20	2693	2645/2610	1763PB#3		T965524-D10	200420: recollected, original plate loc T965523-G07
5236*	AA0077	+/t	F	Agouti		4E,11I,6S,9ina	02/28/20	Breeder-May20	2693	2645/2610	1763PB#3		T965524-D11	200420: recollected, original plate loc T965523-H7
5237	AA0077	++/t	F	Agouti		2E,11I,6S,7ina	02/28/20	dispensible	2693	2645/2610	1763PB#3		T965524-D12	200420: recollected, original plate loc T965523-A08
5238	AA0077	t/+	F	Agouti		4E,13I,7S,7ina	02/28/20	Breeder-May20	2693	2645/2610	1763PB#3		T965524-E01	200420: recollected, original plate loc T965523-B08
														
5239	AA0078	+/t	M	Agouti		5E,6I,18S,14ina	02/05/20	Breeder-May20	2265	2410/2412	1763PB#7		T965524-E02	200420: recollected, original plate loc T965523-C08
5240	AA0078	++/t	M	White		5E,6I,13S,7ina	02/05/20	dispensible	2265	2410/2412	1763PB#7		T965524-E03	200420: recollected, original plate loc T965523-D08
5241	AA0078	t/+	M	Black		5E,6I,16S,11ina	02/05/20	dispensible	2265	2410/2412	1763PB#7		T965524-E04	200420: recollected, original plate loc T965523-E08
5242	AA0079	+/t	F	Black		5E,8I,13S,12ina	02/05/20	Breeder-May20	2265	2410/2412	1763PB#7		T965524-E05	200420: recollected, original plate loc T965523-F08
5243	AA0079	++/t	F	Black		5E,3I,14S,14ina	02/05/20	dispensible	2265	2410/2412	1763PB#7		T965524-E06	200420: recollected, original plate loc T965523-G08
5244	AA0080	+/t	F	Agouti		5E,7I,13S,9ina	02/05/20	Breeder-May20	2265	2410/2412	1763PB#7		T965524-E10	200420: recollected, original plate loc T965523-H8
5245	AA0080	++/t	F	Agouti		4E,7I,15S,10ina	02/05/20	Breeder-May20	2265	2410/2412	1763PB#7		T965524-E11	200420: recollected, original plate loc T965523-A09
5246	AA0080	t/+	F	Agouti		5E,5I,17S,10ina	02/05/20	5/07 - samples collected for gDNA template	2265	2410/2412	1763PB#7		T965524-E12	200420: recollected, original plate loc T965523-B09
5247	AA0080	t/++	F	Black		5E,6I,14S,13ina	02/05/20	5/07 - samples collected for gDNA template	2265	2410/2412	1763PB#7		T965524-F01	200420: recollected, original plate loc T965523-C09
5248	AA0080	notch-5	F	White		4E,6I,10S,14ina	02/05/20	5/07 - samples collected for gDNA template	2265	2410/2412	1763PB#7		T965524-F02	200420: recollected, original plate loc T965523-D09
5249	AA0081	+/t	M	Agouti		3E,7I,15S,11ina	02/11/20	dispensible	2750	2650/2652	1763PB#7		T965524-F03	200420: recollected, original plate loc T965523-E09
5250*	AA0081	++/t	M	Agouti		3E,7I,12S,12ina	02/11/20	dispensible	2750	2650/2652	1763PB#7		T965524-F04	200420: recollected, original plate loc T965523-F09
5251	AA0081	t/+	M	Black		4E,8I,15S,13ina	02/11/20	dispensible	2750	2650/2652	1763PB#7		T965524-F05	200420: recollected, original plate loc T965523-G09
5252	AA0081	t/++	M	Black		4E,9I,16S,11ina	02/11/20	Breeder-May20	2750	2650/2652	1763PB#7		T965524-F06	200420: recollected, original plate loc T965523-A10
5253	AA0082	+/t	F	Agouti		4E,7I,13S,13ina	02/11/20	Breeder-May20	2750	2650/2652	1763PB#7		T965524-F07	200420: recollected, original plate loc T965523-B10
5254	AA0082	++/t	F	Black		5E,6I,17S,12ina	02/11/20	Breeder-May20	2750	2650/2652	1763PB#7		T965524-F08	200420: recollected, original plate loc T965523-C10
5255	AA0082	t/+	F	Black		4E,7I,8S,10ina	02/11/20	5/07 - samples collected for gDNA template	2750	2650/2652	1763PB#7		T965524-F09	200420: recollected, original plate loc T965523-D10
														
5256	AA0083	+/t	M	Agouti		4E,12I,7S,8ina	02/14/20	Breeder-May20	2693	2645/2610	1763PB#3		T965524-F10	200420: recollected, original plate loc T965523-E10
5257*	AA0083	++/t	M	Agouti		3E,11I,7S,9ina	02/14/20		2693	2645/2610	1763PB#3		T965524-F11	200420: recollected, original plate loc T965523-F10
														
5298	AA0079	+/t	F	Albino		5E,5I,13S,11ina	04/01/20	dispensible	2265	5242/5243	1763PB#7		T965524-E07	200420: presumed progeny from late separation of mothers from their sire
5299	AA0079	t/+	F	Albino		4E,6I,13S,9ina	04/01/20	dispensible	2265	5242/5243	1763PB#7		T965524-E08	200420: presumed progeny from late separation of mothers from their sire
														
5258	AA0084	+/t	M	Black			03/24/20		2728	2713	fCas9 x synCre		T965522-A01	
5259	AA0085	+/t	F	Black			03/16/20	Breeding	2549	2663	Cas9		T965522-B01	
5260	AA0086	+/t	M	Black			03/16/20	Breeding	2549	2663	Cas9		T965522-C01	
5261	AA0087	++/t	M	Black			03/12/20		2542	2535	fCas9 x hCD2		T965522-D01	
5262	AA0087	t/+	M	Black			03/12/20		2542	2535	fCas9 x hCD2		T965522-E01	
5263	AA0088	+/t	F	Black			03/12/20		2542	2535	fCas9 x hCD2		T965522-F01	
5264	AA0088	++/t	F	Black			03/12/20		2542	2535	fCas9 x hCD2		T965522-G01	
5265	AA0088	t/+	F	Black			03/12/20		2542	2535	fCas9 x hCD2		T965522-H01	
5266	AA0088	t/++	F	Black			03/12/20		2542	2535	fCas9 x hCD2		T965522-A02	
5267	AA0088	notch-5	F	Black			03/12/20		2542	2535	fCas9 x hCD2		T965522-B02	
														
5268	AA0089	+/t	M	Black		3E,7I,16S,14ina	03/06/20	dispensible	2750	2650/2652	1763PB#7		T965522-C02	
5269	AA0089	++/t	M	Black		3E,5I,14S,11ina	03/06/20	dispensible	2750	2650/2652	1763PB#7		T965522-D02	
5270	AA0089	t/+	M	Agouti		5E,8I,15S,12ina	03/06/20	Breeder-May20	2750	2650/2652	1763PB#7		T965522-E02	
5271	AA0089	t/++	M	Agouti		4E,7I,13S,13ina	03/06/20	dispensible	2750	2650/2652	1763PB#7		T965522-F02	
5272	AA0090	+/t	F	Black		3E,8I,14S,11ina	03/06/20	dispensible	2750	2650/2652	1763PB#7		T965522-G02	
5273	AA0090	++/t	F	Agouti		5E,9I,20S,13ina	03/06/20	Breeder-May20	2750	2650/2652	1763PB#7		T965522-H02	
5274	AA0091	+/t	M	Agouti			03/04/20	05/07/20	2751	2418/2421	1763PB#7		T965522-A03	
5275	AA0091	++/t	M	Agouti		4E,7I,18S,12ina	03/04/20	05/07/20	2751	2418/2421	1763PB#7		T965522-B03	
5276	AA0091	t/+	M	Agouti		5E,7I,11S,15ina	03/04/20	05/07/20	2751	2418/2421	1763PB#7		T965522-C03	
5277	AA0091	t/++	M	Black		5E,6I,14S,16ina	03/04/20	05/07/20	2751	2418/2421	1763PB#7		T965522-D03	
5278	AA0092	+/t	F	Black		5E,7I,12S,12ina	03/04/20	Breeder-May20	2751	2418/2421	1763PB#7		T965522-E03	
